,description_short,adress,zip_code,price_cold,price_warm,rooms,area,yearbuild,url
83,Familienfreundliche 4-Zimmerwohnung in den Sonnenhöfen,Aldebaranstraße 6  12529 Schönefeld,12529,999.0,1315.0,4.0,90.94,2020,https://www.immonet.de/angebot/41554675
84,1-Zimmer-Wohnung renoviert mit Einbauküche,14612 Falkensee,14612,360.0,460.0,1.0,42.0,2000,https://www.immonet.de/angebot/40927908
85,Sanierte 2 Zimmerwohnung in zentraler Lage in Panketal OT Röntgental,Kastanienallee 14  16341 Panketal,16341,470.0,545.0,2.0,50.0,1904,https://www.immonet.de/angebot/41640050
86,Wunderschöne Wohnung im Herzen von Geltow (Neubau),Auf dem Berge 9  14548 Schwielowsee,14548,1080.0,NaN,3.0,71.54,NA,https://www.immonet.de/angebot/41221530
87,Frisch renoviert- ein perfektes Zuhause in Citynähe mit großer Terrasse!,Simon-Bolivar-Straße 26  13055 Berlin,13055,749.0,928.0,2.0,62.02,1994,https://www.immonet.de/angebot/41632973
88,"3-Zimmer-Wohnung mit 69,08 m² Wfl im 3 OG, Bj 2020",Garibaldistr. 11  13158 Berlin,13158,980.0,1163.0,3.0,69.08,2020,https://www.immonet.de/angebot/41585494
89,Barrierefreie 1- Zimmer- Wohnung mit Duschbad!,Havelländer Ring 39  12629 Berlin,12629,449.0,546.0,1.0,37.31,1985,https://www.immonet.de/angebot/41603391
90,Spektakulärer Ausblick gefällig? Hier sind SIE richtig!!!! Bezugsfrei ab sofort!!! 15 m² Dachterrasse inklusve!!!,Eiswerderstr. 17 h  13585 Berlin,13585,1299.0,NaN,2.0,55.0,NA,https://www.immonet.de/angebot/40883886
91,3-Zimmer-Wohnung in Berlin Schöneberg ab 01102020 verfügbar,Bülowstraße 43  10783 Berlin,10783,494.22,636.22,3.0,65.17,1954,https://www.immonet.de/angebot/41661642
92,Frisch renovierte 2-Zimmerwohnung mit eigenem Balkon und Laminat in ruhiger Lage in Lichtenrade sucht neue Mieter !!,Charlottenstraße  12307 Berlin,12307,630.23,872.57,2.0,66.34,1992,https://www.immonet.de/angebot/39607605
93,1-Raum-Wohnung mit Terrasse,14776 Brandenburg,14776,358.72,445.57,2.0,37.76,NA,https://www.immonet.de/angebot/41593200
94,Sanierte Traumwohnung sucht neuen Mieter !,Gutenbergstraße 95  14467 Potsdam,14467,1487.5,1749.5,3.0,87.5,NA,https://www.immonet.de/angebot/40510492
95,Klassisch elegantes Wohnen in den ROSENGÄRTEN nahe Kurfürstendamm - Ruhiglage -,Württembergische Straße 44b  10707 Berlin,10707,2287.8,NaN,4.0,125.0,2013,https://www.immonet.de/angebot/41325356
96,Traumwohnung mit Sonnenterrasse zum Innenhof! EBK und Erstbezug!,Heidestraße 19  10557 Berlin,10557,1840.57,2198.89,3.0,119.44,2019,https://www.immonet.de/angebot/41477312
97,Moderne und vollmöblierte 2-Zimmer Wohnung im lebendigen Friedrichshain,Koppenstraße 81  10243 Berlin,10243,1100.0,1400.0,2.0,46.0,2000,https://www.immonet.de/angebot/41611871
98,Geräumige Familienwohnung mit Balkon und Badewanne!,Alt-Friedrichsfelde 81  10315 Berlin,10315,799.0,965.0,3.0,71.41,1979,https://www.immonet.de/angebot/41614756
99,Super apartment with balcony & pantry kitchen,Heidestraße 19  10557 Berlin,10557,852.77,990.0,1.0,27.45,2019,https://www.immonet.de/angebot/41303061
100,Erstbezug! Stilvolle Pärchenwohnung mit zwei Balkonen,Pauline-Staegemann-Str. 4  10249 Berlin,10249,1545.0,1815.0,3.0,82.94,2020,https://www.immonet.de/angebot/40667835
101,"Rathausvillen - 2-Raumwohnung auf 68 qm, großer Balkon",Rathausgasse 8  12529 Schönefeld,12529,819.0,988.98,2.0,67.99,2020,https://www.immonet.de/angebot/41256435
102,Hochwertige Dreizimmer-ETW mit Tiefgarage und Süd-West-Terrasse in Dahlem,14169 Berlin,14169,1350.0,1980.0,3.0,104.0,2014,https://www.immonet.de/angebot/41653653
