,zip_code,price_cold,area
147,10439,407.0,57.0
148,14641,1084.7,95.4
149,10315,499.0,37.1
150,10963,1023.3,60.55
151,12167,1100.0,93.61
152,12309,472.83,62.96
153,16321,1188.49,152.37
154,12524,1000.0,83.7
155,12627,719.0,74.34
156,16761,450.0,62.0
157,14943,840.0,84.0
158,12047,419.13,48.01
159,12557,1571.4,87.3
160,14193,1890.0,147.36
161,14641,799.0,81.43
162,14979,1019.16,85.0
163,10315,1169.14,82.045
164,14199,693.0,35.0
165,10245,799.0,54.0
166,12347,895.95,59.73
167,13158,1700.0,124.36
168,14195,900.0,62.0
169,14542,610.0,61.0
170,12459,1650.0,126.7
171,10117,1350.0,92.0
172,16230,390.0,58.0
173,10557,1739.09,96.67
175,15745,1190.95,94.52
176,12529,640.0,54.12
177,14776,275.0,35.44
178,12459,1550.0,97.93
179,14476,320.0,20.87
180,10629,1270.0,79.2
181,13051,649.0,71.27
182,14199,965.0,60.98
183,10435,1800.0,82.5
184,10557,1637.91,98.02
185,14480,633.33,68.1
186,10249,1178.85,40.65
187,12359,491.88,68.88
188,13156,850.0,95.1
189,14199,1340.0,89.26
190,15344,491.0,51.72
191,14471,360.0,16.15
192,14641,698.29,56.45
193,10785,1850.0,91.0
194,12205,557.15,55.0
195,14467,1653.0,87.0
196,10315,640.0,29.7
197,10179,1901.84,91.66
198,14641,313.69,48.26
199,10179,1542.87,91.57
200,10249,940.0,42.29
201,14197,1126.14,98.0
202,12683,595.0,56.0
203,10179,1435.48,78.02
204,13583,320.72,54.84
205,10557,1534.0,77.66
206,10249,1980.0,110.0
207,14480,629.38,66.25
208,14776,589.71,71.48
209,14480,565.88,67.77
210,10315,899.0,91.11
211,14089,700.0,41.0
212,10179,1370.0,59.57
213,14480,650.28,68.45
214,16227,440.0,61.2
216,10117,2720.0,68.0
217,10439,3185.54,168.0
218,12529,859.0,72.33
219,10557,949.0,29.95
220,13089,1005.35,101.55
221,12307,1069.81,110.57
223,12247,656.0,52.5
224,16321,880.0,80.0
225,12487,1250.0,78.0
226,13125,699.0,56.98
227,10557,2141.64,134.02
228,10625,1236.0,85.0
229,10179,1246.17,69.04
230,13055,1020.0,79.7
231,13581,1942.5,129.5
232,10179,3199.0,156.1
234,13407,550.0,47.0
235,10405,1800.0,96.6
236,10557,990.0,47.48
237,10115,5540.64,131.92
238,10249,1625.0,82.83
239,12529,862.0,72.33
240,12305,757.32,81.58
241,14052,885.0,59.0
242,16556,918.0,108.0
243,12459,464.69,24.25
244,15745,924.03,71.63
245,12529,1199.0,93.93
246,10557,1165.0,65.6
247,10627,800.0,29.0
248,14542,1115.76,92.98
249,16562,410.0,48.3
250,13407,428.49,28.19
251,10557,1550.0,77.79
252,10587,1100.0,53.0
253,12623,1157.9,99.2
254,16540,903.0,64.5
255,14612,1196.0,92.0
256,16515,1200.0,103.93
257,10963,1990.0,101.0
258,14163,1491.66,82.87
259,10557,851.24,27.75
260,14480,732.07,77.88
261,14542,1132.0,78.07
262,15713,800.0,75.0
263,10247,1000.0,70.0
264,12459,268.0,15.0
266,12555,723.75,48.25
267,10117,2520.0,153.0
268,13597,980.0,90.7
269,10557,1733.59,95.2
270,14480,691.0,77.64
271,10117,1450.0,73.0
272,12529,689.0,51.97
273,10555,1340.0,67.0
274,12439,1471.63,96.5
275,13581,1190.0,88.61
276,10557,1484.98,86.79
277,13585,978.0,106.51
278,12627,629.0,54.5
279,10249,1595.0,89.75
280,15562,320.0,43.68
282,12627,699.0,71.22
283,14167,2635.54,241.0
284,10829,518.82,22.9
285,13158,822.0,82.83
286,10625,1039.0,41.56
287,14542,550.0,92.0
288,15806,980.0,95.0
289,10115,1850.0,107.0
