base_rent,qm,plz,rent_per_qm,data_set
800.00,29.00,10627,27.59,immonet
1115.76,92.98,14542,12.00,immonet
410.00,48.30,16562,8.49,immonet
428.49,28.19,13407,15.20,immonet
1550.00,77.79,10557,19.93,immonet
1100.00,53.00,10587,20.75,immonet
1157.90,99.20,12623,11.67,immonet
903.00,64.50,16540,14.00,immonet
1196.00,92.00,14612,13.00,immonet
1200.00,103.93,16515,11.55,immonet
1990.00,101.00,10963,19.70,immonet
1491.66,82.87,14163,18.00,immonet
851.24,27.75,10557,30.68,immonet
732.07,77.88,14480,9.40,immonet
1132.00,78.07,14542,14.50,immonet
800.00,75.00,15713,10.67,immonet
1000.00,70.00,10247,14.29,immonet
268.00,15.00,12459,17.87,immonet
723.75,48.25,12555,15.00,immonet
2520.00,153.00,10117,16.47,immonet
980.00,90.70,13597,10.80,immonet
1733.59,95.20,10557,18.21,immonet
691.00,77.64,14480,8.90,immonet
1450.00,73.00,10117,19.86,immonet
689.00,51.97,12529,13.26,immonet
1340.00,67.00,10555,20.00,immonet
1471.63,96.50,12439,15.25,immonet
1190.00,88.61,13581,13.43,immonet
1484.98,86.79,10557,17.11,immonet
978.00,106.51,13585,9.18,immonet
629.00,54.50,12627,11.54,immonet
1595.00,89.75,10249,17.77,immonet
320.00,43.68,15562,7.33,immonet
699.00,71.22,12627,9.81,immonet
2635.54,241.00,14167,10.94,immonet
518.82,22.90,10829,22.66,immonet
822.00,82.83,13158,9.92,immonet
1039.00,41.56,10625,25.00,immonet
550.00,92.00,14542,5.98,immonet
980.00,95.00,15806,10.32,immonet
1850.00,107.00,10115,17.29,immonet
3500.00,143.22,10178,24.44,immonet
950.00,63.00,12621,15.08,immonet
659.60,65.96,13437,10.00,immonet
5700.00,186.00,10969,30.65,immonet
1222.00,47.00,10711,26.00,immonet
1599.00,92.30,12459,17.32,immonet
367.29,40.81,14776,9.00,immonet
1435.00,77.07,10249,18.62,immonet
1675.17,100.49,10557,16.67,immonet
3800.00,158.00,10557,24.05,immonet
3120.00,135.00,10178,23.11,immonet
949.00,88.30,12529,10.75,immonet
696.00,76.93,12103,9.05,immonet
1249.00,43.00,10969,29.05,immonet
1314.12,80.00,10829,16.43,immonet
1900.00,116.00,10719,16.38,immonet
598.00,60.29,13127,9.92,immonet
1699.28,108.58,10557,15.65,immonet
2495.00,166.34,12309,15.00,immonet
549.00,41.42,12529,13.25,immonet
640.00,102.97,14641,6.22,immonet
415.50,42.00,12437,9.89,immonet
800.00,43.76,14050,18.28,immonet
1556.88,98.04,10557,15.88,immonet
897.00,44.87,10997,19.99,immonet
790.00,88.00,13086,8.98,immonet
700.00,65.00,12489,10.77,immonet
999.00,80.59,13055,12.40,immonet
530.00,57.71,13403,9.18,immonet
1139.04,81.36,10315,14.00,immonet
791.22,29.76,10557,26.59,immonet
1800.00,92.00,10557,19.57,immonet
1036.88,79.76,15831,13.00,immonet
2004.13,117.89,14467,17.00,immonet
2730.00,120.06,10249,22.74,immonet
1049.00,96.44,12529,10.88,immonet
1048.53,96.55,14641,10.86,immonet
1584.00,91.84,10557,17.25,immonet
799.00,71.20,10315,11.22,immonet
950.00,50.00,14467,19.00,immonet
400.00,45.00,15345,8.89,immonet
840.00,71.98,16515,11.67,immonet
545.00,50.24,15827,10.85,immonet
579.00,43.00,13125,13.47,immonet
1281.55,90.00,10315,14.24,immonet
1595.00,89.00,10249,17.92,immonet
680.00,37.11,10319,18.32,immonet
640.00,61.00,14542,10.49,immonet
1119.04,69.94,10245,16.00,immonet
438.60,63.29,13509,6.93,immonet
1950.00,104.00,10557,18.75,immonet
699.00,70.28,12627,9.95,immonet
3250.00,170.00,10439,19.12,immonet
1100.00,61.29,13158,17.95,immonet
1663.47,98.43,10829,16.90,immonet
1636.73,95.08,10115,17.21,immonet
2446.00,122.30,10119,20.00,immonet
725.00,58.00,15831,12.50,immonet
915.19,80.99,12557,11.30,immonet
3216.57,185.50,10178,17.34,immonet
786.07,30.79,10557,25.53,immonet
2990.00,130.00,10779,23.00,immonet
557.00,55.70,15345,10.00,immonet
594.00,66.00,16761,9.00,immonet
366.00,39.00,12557,9.38,immonet
307.57,108.60,12059,2.83,immonet
1440.00,120.00,12555,12.00,immonet
1196.62,157.45,16321,7.60,immonet
1199.00,58.00,10557,20.67,immonet
810.00,66.20,13158,12.24,immonet
845.00,67.53,12557,12.51,immonet
1270.00,106.00,12555,11.98,immonet
1181.00,63.53,10557,18.59,immonet
1250.00,56.61,12589,22.08,immonet
1049.00,81.00,14057,12.95,immonet
681.82,71.77,14480,9.50,immonet
1660.00,84.00,10557,19.76,immonet
1300.00,96.33,13158,13.50,immonet
1105.77,62.68,10115,17.64,immonet
1158.95,89.15,13125,13.00,immonet
1650.00,139.47,12557,11.83,immonet
440.00,72.81,14943,6.04,immonet
690.00,51.52,14532,13.39,immonet
1310.00,43.10,10969,30.39,immonet
1085.04,60.28,10245,18.00,immonet
876.79,73.31,14669,11.96,immonet
1699.30,108.86,10557,15.61,immonet
901.51,53.03,10963,17.00,immonet
1999.23,101.69,10557,19.66,immonet
2448.00,150.00,10178,16.32,immonet
2305.02,171.76,12205,13.42,immonet
2864.67,144.17,10557,19.87,immonet
1481.77,106.22,10315,13.95,immonet
350.11,54.13,13409,6.47,immonet
225.36,28.17,14776,8.00,immonet
571.00,56.68,13127,10.07,immonet
622.00,26.00,12277,23.92,immonet
1073.77,85.69,12439,12.53,immonet
1600.00,91.00,12055,17.58,immonet
1050.00,65.00,13187,16.15,immonet
2330.00,116.42,10249,20.01,immonet
649.00,22.35,10557,29.04,immonet
819.00,86.03,13351,9.52,immonet
600.00,67.88,14471,8.84,immonet
1014.89,106.83,14542,9.50,immonet
1072.53,63.09,10243,17.00,immonet
695.81,56.25,14641,12.37,immonet
218.41,36.29,12355,6.02,immonet
1250.00,61.00,10785,20.49,immonet
563.88,60.96,15806,9.25,immonet
754.00,77.00,10245,9.79,immonet
1394.10,92.94,10247,15.00,immonet
390.00,54.74,14641,7.12,immonet
515.77,70.75,12309,7.29,immonet
1795.00,103.57,10557,17.33,immonet
5981.00,225.00,10117,26.58,immonet
401.58,57.62,12355,6.97,immonet
1197.27,67.60,10585,17.71,immonet
1584.00,126.70,10553,12.50,immonet
1149.00,31.90,14199,36.02,immonet
750.00,1376.00,14163,0.55,immonet
840.15,59.27,12489,14.17,immonet
1149.00,93.48,13055,12.29,immonet
443.37,65.38,12207,6.78,immonet
761.46,74.00,12459,10.29,immonet
870.00,80.95,12529,10.75,immonet
1057.03,84.36,15745,12.53,immonet
890.00,30.00,10557,29.67,immonet
4400.00,123.00,10117,35.77,immonet
310.00,30.00,14641,10.33,immonet
900.00,48.00,10243,18.75,immonet
1619.00,85.06,10435,19.03,immonet
852.23,27.55,10557,30.93,immonet
779.00,66.43,12529,11.73,immonet
1460.00,64.86,10249,22.51,immonet
1577.76,93.97,10557,16.79,immonet
2250.00,127.00,12103,17.72,immonet
1059.00,81.50,13055,12.99,immonet
1270.00,43.71,10785,29.06,immonet
740.00,40.00,14059,18.50,immonet
470.00,56.85,14822,8.27,immonet
979.53,55.66,10585,17.60,immonet
1285.00,171.06,14776,7.51,immonet
1279.16,113.10,14641,11.31,immonet
946.12,67.58,12159,14.00,immonet
1261.80,63.09,10243,20.00,immonet
1485.00,89.69,14199,16.56,immonet
700.00,53.23,13595,13.15,immonet
690.00,41.00,10999,16.83,immonet
1200.00,99.29,12623,12.09,immonet
712.68,59.39,12555,12.00,immonet
1249.00,98.99,12529,12.62,immonet
2400.00,107.00,10557,22.43,immonet
598.00,46.02,12529,12.99,immonet
1150.00,81.00,12683,14.20,immonet
1692.92,98.77,10557,17.14,immonet
560.00,68.12,14822,8.22,immonet
699.24,76.17,13053,9.18,immonet
1149.00,63.00,12277,18.24,immonet
1399.00,115.02,13055,12.16,immonet
459.00,35.69,12627,12.86,immonet
1004.60,84.92,15745,11.83,immonet
500.00,77.00,14943,6.49,immonet
1443.00,84.78,10557,17.02,immonet
955.00,56.00,14089,17.05,immonet
1405.00,79.33,14199,17.71,immonet
278.12,27.00,14482,10.30,immonet
579.00,53.98,12627,10.73,immonet
1559.01,102.23,12439,15.25,immonet
558.11,23.86,10829,23.39,immonet
406.30,58.00,10117,7.01,immonet
1218.92,90.29,12555,13.50,immonet
1344.87,99.62,12439,13.50,immonet
2100.00,105.00,10963,20.00,immonet
2800.00,174.93,12589,16.01,immonet
600.00,67.00,10437,8.96,immonet
2280.00,190.00,12555,12.00,immonet
3800.00,154.00,10557,24.68,immonet
360.00,39.31,16761,9.16,immonet
1550.00,64.00,10785,24.22,immonet
1501.00,103.49,14542,14.50,immonet
2626.84,154.52,10115,17.00,immonet
1250.00,52.08,10245,24.00,immonet
703.23,56.85,14641,12.37,immonet
1189.86,68.58,10179,17.35,immonet
281.50,40.10,13589,7.02,immonet
699.00,49.00,10711,14.27,immonet
1200.00,79.48,14548,15.10,immonet
599.00,42.18,12529,14.20,immonet
1100.00,73.00,12621,15.07,immonet
3111.00,160.00,10785,19.44,immonet
899.00,76.15,12051,11.81,immonet
2720.00,136.15,10249,19.98,immonet
1106.92,61.33,10179,18.05,immonet
2150.00,93.20,10117,23.07,immonet
1550.00,68.50,10435,22.63,immonet
500.92,74.36,13587,6.74,immonet
1110.10,65.30,14467,17.00,immonet
902.48,66.85,12526,13.50,immonet
1210.00,82.00,14193,14.76,immonet
1700.00,90.00,10785,18.89,immonet
792.99,29.40,10557,26.97,immonet
1178.00,68.71,10557,17.14,immonet
1500.00,70.74,10711,21.20,immonet
1178.00,61.91,14199,19.03,immonet
1136.34,66.03,12051,17.21,immonet
1330.85,73.94,13581,18.00,immonet
830.50,75.50,16321,11.00,immonet
1271.25,84.75,10785,15.00,immonet
2053.50,136.90,12439,15.00,immonet
1149.00,32.17,14199,35.72,immonet
1907.17,98.67,10115,19.33,immonet
1400.00,86.00,10787,16.28,immonet
839.29,80.71,15711,10.40,immonet
1037.50,83.00,12555,12.50,immonet
599.00,53.74,12627,11.15,immonet
750.00,23.00,10557,32.61,immonet
1099.00,96.44,12529,11.40,immonet
1545.00,91.86,14199,16.82,immonet
850.00,95.95,12557,8.86,immonet
1486.52,104.81,10627,14.18,immonet
1900.00,170.00,12165,11.18,immonet
2299.00,129.59,10435,17.74,immonet
1693.85,98.04,10115,17.28,immonet
1014.80,76.81,12439,13.21,immonet
250.00,37.00,16515,6.76,immonet
749.00,66.78,12529,11.22,immonet
968.00,88.00,14974,11.00,immonet
370.00,60.15,16227,6.15,immonet
894.00,66.15,12623,13.51,immonet
510.00,64.19,14547,7.95,immonet
1149.00,33.01,14199,34.81,immonet
795.00,30.00,12277,26.50,immonet
1450.00,98.00,10117,14.80,immonet
550.00,20.50,13355,26.83,immonet
910.92,79.21,14641,11.50,immonet
265.00,11.00,14469,24.09,immonet
436.00,53.60,10117,8.13,immonet
670.00,30.00,10557,22.33,immonet
1899.00,130.78,14199,14.52,immonet
8900.00,462.00,10117,19.26,immonet
1400.00,82.00,14089,17.07,immonet
980.00,64.86,14548,15.11,immonet
729.00,28.90,12489,25.22,immonet
436.50,58.20,14797,7.50,immonet
1941.94,122.83,10557,15.81,immonet
649.00,70.68,13051,9.18,immonet
1631.47,75.01,10179,21.75,immonet
1567.43,129.54,13125,12.10,immonet
773.00,70.00,13465,11.04,immonet
540.13,24.95,10829,21.65,immonet
560.00,56.00,15711,10.00,immonet
1200.00,107.45,15754,11.17,immonet
1659.67,96.83,10557,17.14,immonet
1068.00,71.21,12524,15.00,immonet
1650.00,77.00,10557,21.43,immonet
1685.79,97.22,10557,17.34,immonet
257.14,34.20,13403,7.52,immonet
700.00,70.00,15834,10.00,immonet
1207.00,46.50,10557,25.96,immonet
3262.00,195.00,14193,16.73,immonet
780.00,71.00,14612,10.99,immonet
650.00,65.00,14776,10.00,immonet
376.50,20.50,14469,18.37,immonet
723.94,56.25,14641,12.87,immonet
510.00,68.63,12059,7.43,immonet
719.00,73.97,12627,9.72,immonet
1246.28,95.03,12439,13.11,immonet
900.00,81.11,16515,11.10,immonet
1042.56,96.00,14641,10.86,immonet
897.00,66.35,12623,13.52,immonet
1150.00,76.00,14548,15.13,immonet
1693.63,94.30,10557,17.96,immonet
1000.00,100.00,12587,10.00,immonet
420.00,19.00,10365,22.11,immonet
789.02,73.87,14669,10.68,immonet
1105.00,55.00,12051,20.09,immonet
500.00,28.00,10781,17.86,immonet
1249.00,31.97,14199,39.07,immonet
1050.00,67.00,12529,15.67,immonet
1425.00,140.00,15834,10.18,immonet
1400.00,78.60,10557,17.81,immonet
969.00,75.49,13507,12.84,immonet
1280.00,95.22,13158,13.44,immonet
2104.17,217.00,12167,9.70,immonet
960.00,60.00,10245,16.00,immonet
1727.23,105.36,10115,16.39,immonet
1200.00,106.44,15537,11.27,immonet
1295.00,122.67,16515,10.56,immonet
650.00,78.29,14959,8.30,immonet
781.50,71.04,13595,11.00,immonet
954.62,55.18,10829,17.30,immonet
900.00,60.00,12621,15.00,immonet
455.00,65.00,14943,7.00,immonet
599.00,45.73,13127,13.10,immonet
949.00,90.12,14641,10.53,immonet
649.00,69.70,12629,9.31,immonet
1484.18,98.43,10829,15.08,immonet
687.22,60.23,10318,11.41,immonet
979.00,101.73,14641,9.62,immonet
912.00,48.00,12489,19.00,immonet
600.00,45.50,12555,13.19,immonet
360.00,63.00,10117,5.71,immonet
1420.00,138.77,10587,10.23,immonet
2950.00,164.00,10439,17.99,immonet
391.21,53.59,13587,7.30,immonet
2755.00,190.00,14050,14.50,immonet
1114.00,85.22,10553,13.07,immonet
1850.00,122.00,10557,15.16,immonet
820.00,23.00,10557,35.65,immonet
799.00,73.26,12529,10.91,immonet
1100.00,63.00,10557,17.46,immonet
675.00,60.16,16515,11.22,immonet
819.00,81.30,14641,10.07,immonet
499.00,37.21,12629,13.41,immonet
254.19,36.27,10409,7.01,immonet
1240.00,110.73,13581,11.20,immonet
1995.00,99.78,10997,19.99,immonet
1120.00,56.00,10555,20.00,immonet
1400.00,74.00,10785,18.92,immonet
862.25,63.87,13597,13.50,immonet
1300.00,42.50,10115,30.59,immonet
905.28,56.58,13187,16.00,immonet
1183.54,69.62,14467,17.00,immonet
1289.00,101.00,15711,12.76,immonet
1200.00,62.00,10115,19.35,immonet
1353.00,123.00,12526,11.00,immonet
994.00,83.00,12557,11.98,immonet
1568.00,98.00,10245,16.00,immonet
1492.12,106.58,14050,14.00,immonet
1500.00,70.00,10557,21.43,immonet
1067.89,102.88,14478,10.38,immonet
1125.00,83.37,14542,13.49,immonet
739.00,52.62,13055,14.04,immonet
1595.00,90.81,10249,17.56,immonet
1136.68,72.40,10829,15.70,immonet
1320.00,110.00,12555,12.00,immonet
477.33,64.33,12109,7.42,immonet
380.00,40.00,13351,9.50,immonet
790.97,68.78,14641,11.50,immonet
874.46,76.00,12489,11.51,immonet
1646.09,94.17,10557,17.48,immonet
526.90,47.79,14480,11.03,immonet
610.74,65.32,14480,9.35,immonet
784.10,62.23,15745,12.60,immonet
499.00,36.93,10315,13.51,immonet
910.00,68.33,13581,13.32,immonet
375.38,57.75,12627,6.50,immonet
1750.00,190.00,12353,9.21,immonet
1551.16,119.32,12555,13.00,immonet
1081.00,92.00,15344,11.75,immonet
610.00,67.78,14480,9.00,immonet
1699.37,95.47,10557,17.80,immonet
1211.08,93.16,13156,13.00,immonet
904.88,73.33,15711,12.34,immonet
1254.32,74.25,10829,16.89,immonet
3500.00,390.00,14513,8.97,immonet
539.00,42.00,16515,12.83,immonet
848.34,60.38,13409,14.05,immonet
770.00,26.72,12167,28.82,immonet
1037.00,95.40,14641,10.87,immonet
598.00,42.69,12161,14.01,immonet
660.00,80.07,14822,8.24,immonet
1018.50,33.95,10967,30.00,immonet
1553.89,88.00,10829,17.66,immonet
1713.00,90.00,12163,19.03,immonet
1535.00,87.81,10557,17.48,immonet
835.00,75.84,13591,11.01,immonet
1720.00,89.00,10249,19.33,immonet
1493.36,135.76,12623,11.00,immonet
2759.00,141.32,10557,19.52,immonet
475.00,72.00,13507,6.60,immonet
1470.00,86.00,10785,17.09,immonet
1085.04,86.50,12529,12.54,immonet
2190.00,112.27,10785,19.51,immonet
1500.00,77.93,10557,19.25,immonet
589.00,53.98,12627,10.91,immonet
