,Price,Size(m²),Price_per_m²
291,375.38,57.75,6.5
292,810.0,66.2,12.24
293,1878.0,197.59,9.5
294,1020.0,68.8,14.83
295,2000.0,92.0,21.74
296,1693.85,98.04,17.28
297,1350.0,92.0,14.67
298,1200.0,3016.0,0.4
299,1270.58,74.74,17.0
300,949.0,90.12,10.53
301,2145.0,143.0,15.0
302,1435.0,77.07,18.62
303,2100.0,105.0,20.0
304,1869.9,230.0,8.13
305,475.0,72.0,6.6
306,2750.0,110.0,25.0
307,673.71,63.2,10.66
308,350.0,43.28,8.09
309,633.33,68.1,9.3
310,1149.0,63.0,18.24
311,1132.34,62.0,18.26
312,649.0,69.7,9.31
313,1100.0,100.0,11.0
314,2300.0,145.0,15.86
315,1545.0,103.15,14.98
316,550.0,67.81,8.11
317,1635.26,148.66,11.0
318,673.92,74.88,9.0
319,440.0,61.2,7.19
320,449.0,37.31,12.03
321,600.0,45.5,13.19
322,2500.0,134.0,18.66
323,1117.5,37.25,30.0
324,1300.0,96.33,13.5
325,2250.0,127.0,17.72
326,839.29,80.71,10.4
327,1478.0,77.79,19.0
328,2448.0,150.0,16.32
329,1069.81,110.57,9.68
330,4360.0,171.8,25.38
331,2019.68,115.41,17.5
332,491.0,51.72,9.49
333,1023.3,60.55,16.9
334,579.0,43.0,13.47
335,1475.0,76.79,19.21
336,958.03,87.252,10.98
337,370.0,44.8,8.26
338,1500.0,77.93,19.25
339,360.0,16.15,22.29
340,2287.8,125.0,18.3
341,464.69,24.25,19.16
342,1340.0,67.0,20.0
343,968.0,88.0,11.0
344,535.0,53.0,10.09
345,894.0,66.15,13.51
346,3490.0,190.0,18.37
347,1299.0,103.48,12.55
348,945.84,67.56,14.0
349,2349.0,123.79,18.98
350,1015.13,69.0,14.71
351,799.0,71.2,11.22
352,840.0,71.98,11.67
353,699.0,56.98,12.27
354,320.0,78.88,4.06
355,1132.37,66.61,17.0
356,1577.76,93.97,16.79
357,460.0,68.6,6.71
358,1130.0,82.27,13.74
359,791.62,29.68,26.67
360,1693.63,94.3,17.96
361,1249.0,31.8,39.28
362,1551.16,119.32,13.0
363,2175.0,160.0,13.59
364,900.0,50.35,17.87
365,1700.0,124.36,13.67
366,1675.17,100.49,16.67
367,376.5,20.5,18.37
368,1550.0,68.5,22.63
369,944.0,75.51,12.5
370,1789.0,176.98,10.11
371,1142.09,95.02,12.02
372,2900.0,152.0,19.08
373,1211.42,71.26,17.0
374,520.0,65.03,8.0
375,928.32,71.63,12.96
376,975.0,75.0,13.0
377,750.0,23.0,32.61
378,350.11,54.13,6.47
379,1324.0,60.0,22.07
380,584.95,72.09,8.11
381,1323.2,66.16,20.0
382,2004.13,117.89,17.0
383,571.0,56.68,10.07
384,1378.72,98.48,14.0
385,1490.0,85.0,17.53
386,1623.05,109.0,14.89
387,447.18,57.7,7.75
388,1207.0,46.75,25.82
389,1280.0,95.22,13.44
390,1044.05,96.1,10.86
391,969.0,75.49,12.84
392,1800.0,92.0,19.57
393,557.15,55.0,10.13
394,1476.0,123.0,12.0
395,1110.0,57.0,19.47
396,510.0,68.63,7.43
397,732.07,77.88,9.4
398,1500.0,70.0,21.43
399,1150.0,52.5,21.9
400,1450.0,98.0,14.8
401,443.37,65.38,6.78
402,1336.82,87.58,15.26
403,1727.23,105.36,16.39
404,438.6,63.29,6.93
405,845.0,67.53,12.51
406,854.0,72.33,11.81
407,453.56,38.05,11.92
408,599.0,45.73,13.1
409,1081.0,92.0,11.75
410,1485.0,89.69,16.56
411,650.0,78.29,8.3
412,650.0,65.0,10.0
413,279.44,34.93,8.0
414,899.0,91.11,9.87
415,599.0,42.18,14.2
416,364.88,51.83,7.04
417,1550.0,64.0,24.22
418,2720.0,68.0,40.0
419,1558.26,115.91,13.44
420,860.0,55.79,15.41
421,669.0,69.79,9.59
422,900.0,84.0,10.71
423,595.0,56.0,10.62
424,1065.0,65.36,16.29
425,1050.0,67.0,15.67
426,1430.0,76.27,18.75
427,779.0,67.99,11.46
428,1236.0,85.0,14.54
429,3500.0,390.0,8.97
430,1293.0,58.77,22.0
431,851.24,27.75,30.68
432,3058.6,203.1,15.06
433,1149.0,33.01,34.81
434,865.0,72.35,11.96
435,876.18,83.82,10.45
436,244.04,41.11,5.94
437,1197.27,67.6,17.71
438,1149.0,32.17,35.72
439,1435.07,78.85,18.2
440,1027.15,87.81,11.7
441,424.0,58.75,7.22
442,1188.49,152.37,7.8
443,1279.16,113.1,11.31
444,1690.0,71.0,23.8
445,675.0,60.16,11.22
446,1930.0,93.2,20.71
447,1078.52,58.62,18.4
