base_rent,qm,rent_per_qm,data_set
1972,136,14.50,immoscout
2458.41,144.61,17.00,immoscout
2626.84,154.52,17.00,immoscout
970.2,32.34,30.00,immoscout
1039,83.14,12.50,immoscout
418.11,60,6.97,immoscout
700,15,46.67,immoscout
620,12,51.67,immoscout
347.77,42.38,8.21,immoscout
356.8,43.48,8.21,immoscout
1623.05,109,14.89,immoscout
644.48,80.59,8.00,immoscout
1477.4,101.89,14.50,immoscout
658.53,69.76,9.44,immoscout
556.51,69.59,8.00,immoscout
1271.25,84.75,15.00,immoscout
578,62,9.32,immoscout
1998,136,14.69,immoscout
852.68,67.14,12.70,immoscout
940.01,77.05,12.20,immoscout
2340,117,20.00,immoscout
2340,117,20.00,immoscout
743.16,123,6.04,immoscout
1300,86,15.12,immoscout
590.63,56.25,10.50,immoscout
1534,77.66,19.75,immoscout
1499,77.66,19.30,immoscout
607.53,76,7.99,immoscout
2500,81.45,30.69,immoscout
1353,123,11.00,immoscout
809,52.19,15.50,immoscout
790,47,16.81,immoscout
1330,100,13.30,immoscout
605.68,76,7.97,immoscout
610,36.85,16.55,immoscout
1250,75.12,16.64,immoscout
518.69,61,8.50,immoscout
1986.17,102.38,19.40,immoscout
518.69,61,8.50,immoscout
1003.86,60.84,16.50,immoscout
1198,49.9,24.01,immoscout
458.78,61.17,7.50,immoscout
459,61.2,7.50,immoscout
1149,115.42,9.95,immoscout
1650,77.03,21.42,immoscout
1700,80.46,21.13,immoscout
1500,43.5,34.48,immoscout
2700,158.21,17.07,immoscout
785,79.37,9.89,immoscout
840,24,35.00,immoscout
1500.18,90.92,16.50,immoscout
2950,164,17.99,immoscout
1988,90.36,22.00,immoscout
1958,91.06,21.50,immoscout
2249,159.55,14.10,immoscout
2832,177,16.00,immoscout
2272,142,16.00,immoscout
640,13,49.23,immoscout
1724.85,114.99,15.00,immoscout
815,70.88,11.50,immoscout
1222,101.81,12.00,immoscout
1090,45.2,24.12,immoscout
1023.3,60.55,16.90,immoscout
1400,81.3,17.22,immoscout
1798,100,17.98,immoscout
997,83.04,12.01,immoscout
891,68.5,13.01,immoscout
2650,129.94,20.39,immoscout
1450,140,10.36,immoscout
700,15,46.67,immoscout
856.98,74.5,11.50,immoscout
640,13,49.23,immoscout
1999,92,21.73,immoscout
334.51,48.48,6.90,immoscout
700,16,43.75,immoscout
3597.4,260,13.84,immoscout
716.48,52.97,13.53,immoscout
465,19.5,23.85,immoscout
1164.6,77.64,15.00,immoscout
1271.38,107.38,11.84,immoscout
1490,99.4,14.99,immoscout
358.2,47.76,7.50,immoscout
1049,81,12.95,immoscout
1235.1,82.34,15.00,immoscout
503.59,45.69,11.02,immoscout
753.05,68.42,11.01,immoscout
850,81.3,10.46,immoscout
535.5,30.6,17.50,immoscout
1190,47.4,25.11,immoscout
1912.54,136.61,14.00,immoscout
562.05,37.47,15.00,immoscout
609.02,41.43,14.70,immoscout
804.83,39.26,20.50,immoscout
753.1,75.31,10.00,immoscout
2150,81.1,26.51,immoscout
658,54.78,12.01,immoscout
1456,66.03,22.05,immoscout
3130,226,13.85,immoscout
715,57.43,12.45,immoscout
1890,105,18.00,immoscout
1700,112.81,15.07,immoscout
1177.8,60.4,19.50,immoscout
1842.43,95.96,19.20,immoscout
1578.66,89.19,17.70,immoscout
1410.72,90.24,15.63,immoscout
1711.5,94.5,18.11,immoscout
4237.5,169.5,25.00,immoscout
1280,64,20.00,immoscout
1470,105,14.00,immoscout
1595,151,10.56,immoscout
2100,117,17.95,immoscout
590,27.78,21.24,immoscout
780,17,45.88,immoscout
1850,96.81,19.11,immoscout
687.55,70.97,9.69,immoscout
780,20,39.00,immoscout
868,65.54,13.24,immoscout
1450,120,12.08,immoscout
1980,158,12.53,immoscout
1950,74,26.35,immoscout
799,63.7,12.54,immoscout
580,41,14.15,immoscout
5233,249.17,21.00,immoscout
1400,64.44,21.73,immoscout
706.69,50.41,14.02,immoscout
710,56.5,12.57,immoscout
979,76.15,12.86,immoscout
2100,105,20.00,immoscout
1540,77,20.00,immoscout
834,61.71,13.51,immoscout
715,75.28,9.50,immoscout
945,65,14.54,immoscout
780,20,39.00,immoscout
729,74,9.85,immoscout
