base_rent,qm,plz,street,rent_per_qm,data_set
860,76,13467,no_information,11.32,immoscout
1749,105,10589,Mindenerstr,16.66,immoscout
604.55,74.36,13125,M&uuml;nchehagenstra&szlig;e,8.13,immoscout
490,68.14,10317,no_information,7.19,immoscout
626,25,10587,Dovestra&szlig;e,25.04,immoscout
460,25.55,10587,Dovestra&szlig;e,18.00,immoscout
382.58,53.21,12353,Landreiterweg,7.19,immoscout
382.58,53.21,12353,Landreiterweg,7.19,immoscout
550,31,10435,Hagenauer Strasse,17.74,immoscout
700.01,59.83,14129,Potsdamer Chaussee,11.70,immoscout
803.4,59.13,12487,S&uuml;dostallee,13.59,immoscout
255.99,41.49,13403,Provinzstr.,6.17,immoscout
780,40,10629,Wielandstra&szlig;e,19.50,immoscout
1040,42,10785,Genthiner Str.,24.76,immoscout
1190,50,10623,Wegelystr.,23.80,immoscout
950,34,10179,Wallstra&szlig;e,27.94,immoscout
426.39,47.69,12689,Eichhorster Stra&szlig;e,8.94,immoscout
817.37,77.11,12589,Mausohrweg,10.60,immoscout
445,40,12623,H&ouml;nower Str.,11.13,immoscout
1349,80.6,13189,Talstra&szlig;e,16.74,immoscout
525,53,12203,Undinestr.,9.91,immoscout
420,39,10555,Tile-Wardenberg-Str. 21/,10.77,immoscout
2236,86,10179,no_information,26.00,immoscout
467.3,67.14,12057,Joseph-Schmidt-Stra&szlig;e,6.96,immoscout
858.77,67.62,12527,Regattastra&szlig;e,12.70,immoscout
859.54,67.68,12527,Regattastra&szlig;e,12.70,immoscout
1180,97.81,12247,Mozartstr.,12.06,immoscout
640.46,71.5,13055,Konrad-Wolf-Str.,8.96,immoscout
600,53.41,13187,Heynstr,11.23,immoscout
2850,188,10827,K&auml;rtner Stra&szlig;e,15.16,immoscout
820.22,50.96,12555,Lindenstra&szlig;e,16.10,immoscout
598,69.55,13587,Am Teufelsbruch,8.60,immoscout
1000,70,10439,Paul-Robeson-Stra&szlig;e,14.29,immoscout
666,77.42,13587,Zum Erlengrund,8.60,immoscout
829,92.11,13587,Zu den Fichtewiesen,9.00,immoscout
662,76.93,13587,Am Teufelsbruch,8.61,immoscout
1500,100,13409,Residenzstra&szlig;e,15.00,immoscout
850,32,10713,Hohenzollerndamm,26.56,immoscout
709.89,55,13597,Fischerstr.,12.91,immoscout
530,23.61,10715,Wexstra&szlig;e,22.45,immoscout
1213,55.14,12163,Schlo&szlig;stra&szlig;e,22.00,immoscout
1700,170,13595,no_information,10.00,immoscout
649,28.81,10585,Otto-Suhr-Allee,22.53,immoscout
561.71,59,12623,Dahlwitzer Str.,9.52,immoscout
1110,63.5,10785,Flottwellstr.,17.48,immoscout
415,51.9,10627,Wilmersdorfer Str.,8.00,immoscout
887,73.88,10437,Buchholzer Stra&szlig;e,12.01,immoscout
850,61,10713,Ermslebener Weg,13.93,immoscout
959,58.1,13086,no_information,16.51,immoscout
1516.62,108.33,13187,Galenusstr.,14.00,immoscout
1157,71.62,10115,Schwartzkopffstra&szlig;e,16.15,immoscout
1199.52,74.97,10115,Schwartzkopffstra&szlig;e,16.00,immoscout
1055.52,62.51,10115,Chausseestra&szlig;e,16.89,immoscout
1934.76,128.47,10785,K&ouml;bisstr.,15.06,immoscout
3358.63,246.47,10627,R&uuml;ckertstra&szlig;e,13.63,immoscout
1900,104,10439,Finnl&auml;ndische Stra&szlig;e,18.27,immoscout
1135,54.53,10963,Hallesche Stra&szlig;e,20.81,immoscout
368.7,44.93,13355,Gartenstra&szlig;e,8.21,immoscout
2064.63,110,10117,Behrenstra&szlig;e,18.77,immoscout
850,42,12351,Gr&uuml;nlingweg,20.24,immoscout
495,65.99,13589,Pionierstra&szlig;e,7.50,immoscout
1190,108.05,13597,Ruhlebener Stra&szlig;e,11.01,immoscout
1073,32,10557,no_information,33.53,immoscout
1348,60,10557,no_information,22.47,immoscout
1348,60,10557,Hedwig-Porsch&uuml;tz-Stra&szlig;e,22.47,immoscout
